2022-08-05 22-28-25 | Initializing librouter...
2022-08-05 22-28-25 | Getting modules...
2022-08-05 22-28-25 | Loading settings...
2022-08-05 22-28-25 | Loading pairs...
2022-08-05 22-28-25 | Loading filter rules...
2022-08-05 22-28-25 | *** LoadFilterRules: No rules loaded
2022-08-05 22-28-25 | Loading IP exclusions...
2022-08-05 22-28-25 | Setting up user interface...
2022-08-05 22-28-25 | Loading port list...
2022-08-05 22-28-25 | Loading IP range list...
2022-08-05 22-28-25 | Initialization done
2022-08-05 22-30-50 | Closing, saving settings...
2022-08-05 22-30-51 | Normal program termination
